País,Coca_cultivo,Opio_cultivo,Cocaína_produccion,Categoría_Cocaína_produccion,Opioides_produccion,Categoría_Opioides_produccion,Metanfetaminas_produccion,Categoría_Metanfetaminas_produccion,Cocaína_consumo,Categoría_Cocaína_consumo,Cannabis_consumo,Categoría_Cannabis,Metanfetaminas_consumo,Categoría_Metanfetaminas_consumo,Opioides_consumo,Categoría_Opioides_consumo,Cocaína_trafico,Cannabis_trafico,Metanfetaminas_trafico,Heroína_trafico,Población,Consumo_Tn,Mercado_USD
Finland,,,,,,,,,0.8,Media,7.15,Alta,1.48,Alta,0.64,Media,94686.5555244494,5751.15,14874.1418764302,53374.3333333333,,,
France,,,,,10.0,MEDIA,5.0,BAJA,1.23,Alta,10.44,Alta,0.27,Baja,0.53,Media,38552.79,2875.57,,15985.335,795088.0,65.992304,2544187437.72816
Gambia,,,,,,,,,,,,,,,,,,,,7692.31,,,
Georgia,,,,,,,,,0.05,Muy baja,4.0,Media,,,0.71,Media,,,,,,,
Ghana,,,,,,,,,,,,,,,,,18000.0,92.6,,20000.0,,,
Greece,,,12.0,BAJA,22.0,ALTA,3.0,BAJA,0.4,Baja,2.8,Baja,,,,,51711.2017907801,5316.01,11591.1485774499,20594.97,43200.0,3.5856,163755176.688
Guatemala,,,13.0,MEDIA,,,,,1.25,Alta,3.48,Baja,,,,,13298.18,93.78,1941.5,49991.58,190788.0,15.835404,210582052.76472
Haiti,,,,,,,,,0.54,Baja,2.0,Muy baja,6.1,Alta,0.2,Muy baja,,,,,,,
Honduras,,,51.0,MEDIA,,,,,,,,,,,,,12500.0,,,,,,
Hungary,,,,,,,2.0,MUY BAJA,0.3,Baja,1.42,Muy baja,0.43,Baja,,,,,,,,,
India,,,,,14.0,MEDIA,1.0,MUY BAJA,0.1,Muy baja,2.83,Baja,0.18,Baja,2.06,Alta,59666.68,753.22,9763.63858264513,191331.41,1300000.0,107.9,6438034772.0
Indonesia,,,,,,,16.0,MEDIA,0.01,Muy baja,0.76,Muy baja,0.35,Baja,,,,176.06,,,,,
United Kingdom,,,,,,,,,2.36,Alta,6.92,Alta,0.6,Media,,,,,,,,,
Ireland,,,,,,,1.0,MUY BAJA,1.8,Alta,6.93,Alta,0.57,Media,0.67,Media,38817.3458930571,7668.19,,43361.3744288914,84744.0,7.033752,250311468.83688
Iran,,,,,,,,,0.11,Muy baja,0.45,Muy baja,0.62,Media,3.02,Alta,,380.8,,40045.77,,,
